Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0090468K;Ecole élémentaire;ECOLE ELEMENTAIRE PUBLIQUE;;Public;VILLAGE;;;09000;ST MARTIN DE CARALP;Saint-Martin-de-Caralp;581158.1;6211208.3;EPSG:2154;42.99036718124561;1.5440102015328636;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;009;76;16;09269;Ariège;Occitanie;Toulouse;42.99036718124561,1.5440102015328636;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1968-12-02
0301025B;Ecole élémentaire Georges Lapierre;ECOLE ELEMENTAIRE PUBLIQUE;GEORGES LAPIERRE;Public;95 rue Albert André;;;30290;LAUDUN L ARDOISE;Laudun-l'Ardoise;832511.5;6335291.0;EPSG:2154;44.104122119227554;4.6552801960401196;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;030;76;11;30141;Gard;Occitanie;Montpellier;44.104122119227554,4.6552801960401196;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-06-04
0301293T;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;;Public;Rue Emile Pouytès;;;30820;CAVEIRAC;Caveirac;801442.4;6303436.4;EPSG:2154;43.8226509057993;4.260900485894291;Parfaite;Rue;101;ECOLE MATERNELLE;1;OUVERT;030;76;11;30075;Gard;Occitanie;Montpellier;43.8226509057993,4.260900485894291;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1976-05-24
0301375G;Ecole élémentaire;ECOLE ELEMENTAIRE PUBLIQUE;;Public;VILLAGE;;;30360;ST ETIENNE DE L OLM;Saint-Etienne-de-l'Olm;794849.3;6329506.6;EPSG:2154;44.05816243731443;4.183820548383531;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;030;76;11;30250;Gard;Occitanie;Montpellier;44.05816243731443,4.183820548383531;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1981-10-01
0301440C;Ecole élémentaire Peyrouse;ECOLE ELEMENTAIRE PUBLIQUE;PEYROUSE;Public;Avenue de Nîmes;;;30320;MARGUERITTES;Marguerittes;815770.8;6308016.0;EPSG:2154;43.8616518926109;4.439999415193569;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;030;76;11;30156;Gard;Occitanie;Montpellier;43.8616518926109,4.439999415193569;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1985-09-01
0301562K;Ecole maternelle Jean Jaurès;ECOLE MATERNELLE PUBLIQUE;JEAN JAURES;Public;Rue du Moulin à huile;;;30200;BAGNOLS SUR CEZE;Bagnols-sur-Cèze;829546.1;6342153.1;EPSG:2154;44.16642523066904;4.620006486316349;Correcte;Rue;101;ECOLE MATERNELLE;1;OUVERT;030;76;11;30028;Gard;Occitanie;Montpellier;44.16642523066904,4.620006486316349;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1993-09-01
0301814J;Ecole primaire L'île verte;ECOLE PRIMAIRE PUBLIQUE;L'ILE VERTE;Public;Chemin de Caveyrargues;;;30420;CALVISSON;Calvisson;796822.5;6299653.9;EPSG:2154;43.78926539698954;4.2027694369655215;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;030;76;11;30062;Gard;Occitanie;Montpellier;43.78926539698954,4.2027694369655215;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2013-09-01
0300317G;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;Public;1 rue de l'Eglise;;;30210;CASTILLON DU GARD;Castillon-du-Gard;824689.4;6320297.1;EPSG:2154;43.970633887503354;4.5539103815365065;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;030;76;11;30073;Gard;Occitanie;Montpellier;43.970633887503354,4.5539103815365065;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1967-10-09
0300362F;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;Public;18 place de l'Aire;;;30170;DURFORT ET ST MARTIN DE SOSSENAC;Durfort-et-Saint-Martin-de-Sossenac;776613.7;6321577.7;EPSG:2154;43.989031298781164;3.955048782195839;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;030;76;11;30106;Gard;Occitanie;Montpellier;43.989031298781164,3.955048782195839;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1967-10-09
0300611B;Ecole maternelle Notre Dame de la Rouvière;ECOLE MATERNELLE PUBLIQUE;NOTRE DAME DE LA ROUVIERE;Public;;NOTRE DAME DE LA ROUVIERE;;30570;VAL D AIGOUAL;Val-d'Aigoual;756179.6;6327931.0;EPSG:2154;44.048136469012654;3.7010409100144264;Mauvaise;Ville;101;ECOLE MATERNELLE;1;OUVERT;030;76;11;30339;Gard;Occitanie;Montpellier;44.048136469012654,3.7010409100144264;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1967-10-11
0300730F;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;Public;10 avenue Paul Blisson;;;30210;ST HILAIRE D OZILHAN;Saint-Hilaire-d'Ozilhan;827521.4;6320399.5;EPSG:2154;43.97104804768153;4.589219727761225;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;030;76;11;30260;Gard;Occitanie;Montpellier;43.97104804768153,4.589219727761225;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1967-10-11
0300844E;Ecole primaire les Trois Ponts;ECOLE PRIMAIRE PUBLIQUE;LES TROIS PONTS;Public;Ancienne route d'Alès;;;30700;SERVIERS ET LABAUME;Serviers-et-Labaume;808630.3;6327589.2;EPSG:2154;44.038913606438555;4.3553797588559195;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;030;76;11;30319;Gard;Occitanie;Montpellier;44.038913606438555,4.3553797588559195;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1967-10-11
0300895K;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;;Public;Allée des Mûriers;;;30310;VERGEZE;Vergèze;798506.0;6294513.7;EPSG:2154;43.74278343242041;4.2226905979643865;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;030;76;11;30344;Gard;Occitanie;Montpellier;43.74278343242041,4.2226905979643865;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1967-10-11
0660049V;Collège Jean Moulin;COLLEGE;JEAN MOULIN;Public;41 place Jean Moulin;;;66000;PERPIGNAN;Perpignan;691759.8;6177487.3;EPSG:2154;42.696946728899846;2.8995594869976578;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;066;76;11;66136;Pyrénées-Orientales;Occitanie;Montpellier;42.696946728899846,2.8995594869976578;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-11-02
0090007J;Collège Victor Hugo;COLLEGE;VICTOR HUGO;Public;6 rue du Collège;;;09300;LAVELANET;Lavelanet;606273.1;6205181.6;EPSG:2154;42.9398982453581;1.8527298202476252;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;009;76;16;09160;Ariège;Occitanie;Toulouse;42.9398982453581,1.8527298202476252;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0090009L;Collège François Verdier;COLLEGE;FRANCOIS VERDIER;Public;Avenue des Pyrénées;;;09210;LEZAT SUR LEZE;Lézat-sur-Lèze;565951.7;6242769.7;EPSG:2154;43.271499441731265;1.3496797969459409;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;009;76;16;09167;Ariège;Occitanie;Toulouse;43.271499441731265,1.3496797969459409;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0090010M;Collège André Saint-Paul;COLLEGE;ANDRE SAINT-PAUL;Public;23 avenue de la Gare;;;09290;LE MAS D AZIL;Le Mas-d'Azil;566847.1;6221386.9;EPSG:2154;43.0793751437619;1.3661465451820436;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;009;76;16;09181;Ariège;Occitanie;Toulouse;43.0793751437619,1.3661465451820436;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0090015T;Lycée polyvalent Pyrène;LYCEE POLYVALENT;PYRENE;Public;Place DU MERCADAL;;30178;09104;PAMIERS CEDEX;Pamiers;586709.4;6224960.9;EPSG:2154;43.11493601381398;1.609039771039155;Parfaite;Numéro de rue;306;LYCEE POLYVALENT;1;OUVERT;009;76;16;09225;Ariège;Occitanie;Toulouse;43.11493601381398,1.609039771039155;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0090022A;Lycée d'enseignement général et technologique agricole de Pamiers;LEGT AGRICOLE;DE PAMIERS;Public;Route de belpech;;;09100;PAMIERS;Pamiers;589511.7;6225857.5;EPSG:2154;43.12343764948992;1.6432498879149684;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;009;76;16;09225;Ariège;Occitanie;Toulouse;43.12343764948992,1.6432498879149684;99;SANS OBJET;03;AGRICULTURE;1965-05-15
