Code commune,Libell? des communes,Typo degr? de densit?,R?gion,Population municipale 2016,Part population dense (1),Part population interm?diaire (2),Part population peu dense (3),Part population tr?s peu dense (4)
1001,L'Abergement-Cl?menciat,3,84,785,0%,0%,"96,8019680196802%","3,1980319803198%"
1002,L'Abergement-de-Varey,4,84,244,0%,0%,0%,100%
1004,Amb?rieu-en-Bugey,2,84,14518,0%,"92,9155131583336%","6,46409392615323%","0,620392915513158%"
1005,Amb?rieux-en-Dombes,3,84,1705,0%,0%,"96,2209302325581%","3,77906976744186%"
1006,Ambl?on,4,84,116,0%,0%,0%,100%
1007,Ambronay,3,84,2788,0%,0%,"94,3589743589743%","5,64102564102564%"
1008,Ambutrix,2,84,763,0%,"88,9691398555483%","10,7682206172029%","0,262639527248851%"
1009,Andert-et-Condon,3,84,344,0%,0%,"2,34604105571848%","97,6539589442815%"
1010,Anglefort,3,84,1142,0%,0%,"98,4580498866213%","1,54195011337868%"
1011,Apremont,3,84,394,0%,0%,"97,8695073235686%","2,13049267643142%"
1012,Aranc,4,84,330,0%,0%,0%,100%
1013,Arandas,4,84,151,0%,0%,0%,100%
1014,Arbent,2,84,3470,0%,"98,8935798515068%",0%,"1,10642014849323%"
1015,Arboys en Bugey,4,84,656,0%,0%,"20,5357142857143%","79,4642857142857%"
1016,Arbigny,3,84,466,0%,0%,"96,4360587002096%","3,56394129979036%"
1017,Argis,3,84,452,0%,0%,"93,6117936117936%","6,38820638820639%"
1019,Armix,4,84,26,0%,0%,0%,100%
1021,Ars-sur-Formans,3,84,1418,0%,0%,"98,3405483405483%","1,65945165945166%"
1022,Artemare,3,84,1248,0%,0%,"99,836867862969%","0,163132137030995%"
1023,Asni?res-sur-Sane,4,84,66,0%,0%,0%,100%
1024,Attignat,3,84,3336,0%,0%,"97,3768491688272%","2,62315083117279%"
1025,Bg?-Dommartin,3,84,4191,0%,0%,"92,1212121212121%","7,87878787878788%"
1026,Bg?-le-Chtel,3,84,971,0%,0%,100%,0%
1027,Balan,3,84,2920,0%,0%,"99,0981432360743%","0,90185676392573%"
1028,Baneins,3,84,606,0%,0%,"95,8199356913183%","4,18006430868167%"
1029,Beaupont,3,84,694,0%,0%,"92,9467084639498%","7,05329153605016%"
1030,Beauregard,2,84,908,0%,"89,2547660311958%","10,7452339688042%",0%
1031,Bellignat,2,84,3852,0%,"98,8455195162177%","0,989554700384827%","0,164925783397471%"
1032,B?ligneux,3,84,3345,0%,0%,"99,9451679232351%","0,0548320767649075%"
1033,Valserhne,2,84,16701,0%,"93,4641961181286%","6,0692751199331%","0,466528761938295%"
1034,Belley,2,84,9542,0%,"86,2326808884979%","13,464921926545%","0,302397184957115%"
