,CodeCommune,NomCommune,Libellé région,Libellé typologie
0,01001,L'ABERGEMENT-CLEMENCIAT,Auvergne-Rhône-Alpes,Communes peu denses
1,01002,L'ABERGEMENT-DE-VAREY,Auvergne-Rhône-Alpes,Communes très peu denses
2,01004,AMBERIEU-EN-BUGEY,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
3,01005,AMBERIEUX-EN-DOMBES,Auvergne-Rhône-Alpes,Communes peu denses
4,01006,AMBLEON,Auvergne-Rhône-Alpes,Communes très peu denses
5,01007,AMBRONAY,Auvergne-Rhône-Alpes,Communes peu denses
6,01008,AMBUTRIX,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
7,01009,ANDERT-ET-CONDON,Auvergne-Rhône-Alpes,Communes peu denses
8,01010,ANGLEFORT,Auvergne-Rhône-Alpes,Communes peu denses
9,01011,APREMONT,Auvergne-Rhône-Alpes,Communes peu denses
10,01012,ARANC,Auvergne-Rhône-Alpes,Communes très peu denses
11,01013,ARANDAS,Auvergne-Rhône-Alpes,Communes très peu denses
12,01014,ARBENT,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
13,01015,ARBOYS EN BUGEY,Auvergne-Rhône-Alpes,Communes très peu denses
14,01016,ARBIGNY,Auvergne-Rhône-Alpes,Communes peu denses
15,01017,ARGIS,Auvergne-Rhône-Alpes,Communes peu denses
16,01019,ARMIX,Auvergne-Rhône-Alpes,Communes très peu denses
17,01021,ARS-SUR-FORMANS,Auvergne-Rhône-Alpes,Communes peu denses
18,01022,ARTEMARE,Auvergne-Rhône-Alpes,Communes peu denses
19,01023,ASNIERES-SUR-SAONE,Auvergne-Rhône-Alpes,Communes très peu denses
20,01024,ATTIGNAT,Auvergne-Rhône-Alpes,Communes peu denses
21,01025,BAGE-DOMMARTIN,Auvergne-Rhône-Alpes,Communes peu denses
22,01026,BAGE-LE-CHATEL,Auvergne-Rhône-Alpes,Communes peu denses
23,01027,BALAN,Auvergne-Rhône-Alpes,Communes peu denses
24,01028,BANEINS,Auvergne-Rhône-Alpes,Communes peu denses
25,01029,BEAUPONT,Auvergne-Rhône-Alpes,Communes peu denses
26,01030,BEAUREGARD,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
27,01031,BELLIGNAT,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
28,01032,BELIGNEUX,Auvergne-Rhône-Alpes,Communes peu denses
29,01033,VALSERHONE,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
30,01034,BELLEY,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
31,01035,BELLEYDOUX,Auvergne-Rhône-Alpes,Communes très peu denses
32,01036,VALROMEY-SUR-SERAN,Auvergne-Rhône-Alpes,Communes peu denses
33,01037,BENONCES,Auvergne-Rhône-Alpes,Communes très peu denses
34,01038,BENY,Auvergne-Rhône-Alpes,Communes peu denses
35,01039,BEON,Auvergne-Rhône-Alpes,Communes peu denses
36,01040,BEREZIAT,Auvergne-Rhône-Alpes,Communes peu denses
37,01041,BETTANT,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
38,01042,BEY,Auvergne-Rhône-Alpes,Communes peu denses
39,01043,BEYNOST,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
40,01044,BILLIAT,Auvergne-Rhône-Alpes,Communes peu denses
41,01045,BIRIEUX,Auvergne-Rhône-Alpes,Communes très peu denses
42,01046,BIZIAT,Auvergne-Rhône-Alpes,Communes peu denses
43,01047,BLYES,Auvergne-Rhône-Alpes,Communes peu denses
44,01049,LA BOISSE,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
45,01050,BOISSEY,Auvergne-Rhône-Alpes,Communes peu denses
46,01051,BOLOZON,Auvergne-Rhône-Alpes,Communes très peu denses
47,01052,BOULIGNEUX,Auvergne-Rhône-Alpes,Communes très peu denses
48,01053,BOURG-EN-BRESSE,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
49,01054,BOURG-SAINT-CHRISTOPHE,Auvergne-Rhône-Alpes,Communes peu denses
50,01056,BOYEUX-SAINT-JEROME,Auvergne-Rhône-Alpes,Communes très peu denses
51,01057,BOZ,Auvergne-Rhône-Alpes,Communes peu denses
52,01058,BREGNIER-CORDON,Auvergne-Rhône-Alpes,Communes peu denses
53,01060,BRENOD,Auvergne-Rhône-Alpes,Communes peu denses
54,01061,BRENS,Auvergne-Rhône-Alpes,Communes peu denses
55,01062,BRESSOLLES,Auvergne-Rhône-Alpes,Communes de densité intermédiaire
