,RENTREE SCOLAIRE,REGION ACADEMIQUE,ACADEMIE,DEPARTEMENT,COMMUNE,NUMERO ETABLISSEMENT,DENOMINATION,PATRONYME,SECTEUR,EFFECTIF TOTAL EN PREMIERE GENERALE,EFFECTIF TOTAL FILLES,EFFECTIF TOTAL GARCONS,"0105 - HUMANITES, LITTERATURE ET PHILOSOPHIE - filles","0105 - HUMANITES, LITTERATURE ET PHILOSOPHIE - garcons",0241 - LITTERATURE ET LCA LATIN - filles,0241 - LITTERATURE ET LCA LATIN - garcons,0242 - LITTERATURE ET LCA GREC - filles,0242 - LITTERATURE ET LCA GREC - garcons,"0300 - LANGUES, LITTERATURE ET CULTURES ETRANGERES ET REGIONALES - filles","0300 - LANGUES, LITTERATURE ET CULTURES ETRANGERES ET REGIONALES - garcons",0439 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES - filles,0439 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES - garcons,0507 - SCIENCES ECONOMIQUES ET SOCIALES - filles,0507 - SCIENCES ECONOMIQUES ET SOCIALES - garcons,0613 - MATHEMATIQUES - filles,0613 - MATHEMATIQUES - garcons,0623 - PHYSIQUE-CHIMIE - filles,0623 - PHYSIQUE-CHIMIE - garcons,0629 - SCIENCES DE LA VIE ET DE LA TERRE - filles,0629 - SCIENCES DE LA VIE ET DE LA TERRE - garcons,0673 - SCIENCES DE L INGENIEUR - filles,0673 - SCIENCES DE L INGENIEUR - garcons,0747 - NUMERIQUE ET SCIENCES INFORMATIQUES - filles,0747 - NUMERIQUE ET SCIENCES INFORMATIQUES - garcons,0825 - DANSE - filles,0825 - DANSE - garcons,0832 - MUSIQUE - filles,0832 - MUSIQUE - garcons,0901 - ARTS PLASTIQUES - filles,0901 - ARTS PLASTIQUES - garcons,2757 - HISTOIRE DES ARTS - filles,2757 - HISTOIRE DES ARTS - garcons,2785 - THEATRE - filles,2785 - THEATRE - garcons,2786 - ARTS DU CIRQUE - filles,2786 - ARTS DU CIRQUE - garcons,2852 - CINEMA-AUDIOVISUEL - filles,2852 - CINEMA-AUDIOVISUEL - garcons,3045 - BIOLOGIE - ECOLOGIE - filles,3045 - BIOLOGIE - ECOLOGIE - garcons,01 - MATHEMATIQUES/PHYSIQUE-CHIMIE/SCIENCES DE LA VIE ET DE LA TERRE - filles,01 - MATHEMATIQUES/PHYSIQUE-CHIMIE/SCIENCES DE LA VIE ET DE LA TERRE - garcons,"02 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/LANGUES, LITT. ET CULTURES ETRA. ET R./SCIENCES ECONOMIQUES ET SOCIALES - filles","02 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/LANGUES, LITT. ET CULTURES ETRA. ET R./SCIENCES ECONOMIQUES ET SOCIALES - garcons",03 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/MATHEMATIQUES/SCIENCES ECONOMIQUES ET SOCIALES - filles,03 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/MATHEMATIQUES/SCIENCES ECONOMIQUES ET SOCIALES - garcons,"04 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/HUMANITES, LITTERATURE ET PHILOSOPHIE/SCIENCES ECONOMIQUES ET SOCIALES - filles","04 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/HUMANITES, LITTERATURE ET PHILOSOPHIE/SCIENCES ECONOMIQUES ET SOCIALES - garcons",05 - MATHEMATIQUES/NUMERIQUE ET SCIENCES INFORMATIQUES/PHYSIQUE-CHIMIE - filles,05 - MATHEMATIQUES/NUMERIQUE ET SCIENCES INFORMATIQUES/PHYSIQUE-CHIMIE - garcons,"06 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/HUMANITES, LITTERATURE ET PHILOSOPHIE/LANGUES, LITT. ET CULTURES ETRA. ET R. - filles","06 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/HUMANITES, LITTERATURE ET PHILOSOPHIE/LANGUES, LITT. ET CULTURES ETRA. ET R. - garcons",07 - MATHEMATIQUES/PHYSIQUE-CHIMIE/SCIENCES DE L INGENIEUR - filles,07 - MATHEMATIQUES/PHYSIQUE-CHIMIE/SCIENCES DE L INGENIEUR - garcons,08 - MATHEMATIQUES/PHYSIQUE-CHIMIE/SCIENCES ECONOMIQUES ET SOCIALES - filles,08 - MATHEMATIQUES/PHYSIQUE-CHIMIE/SCIENCES ECONOMIQUES ET SOCIALES - garcons,"09 - LANGUES, LITT. ET CULTURES ETRA. ET R./MATHEMATIQUES/SCIENCES ECONOMIQUES ET SOCIALES - filles","09 - LANGUES, LITT. ET CULTURES ETRA. ET R./MATHEMATIQUES/SCIENCES ECONOMIQUES ET SOCIALES - garcons",10 - MATHEMATIQUES/SCIENCES ECONOMIQUES ET SOCIALES/SCIENCES DE LA VIE ET DE LA TERRE - filles,10 - MATHEMATIQUES/SCIENCES ECONOMIQUES ET SOCIALES/SCIENCES DE LA VIE ET DE LA TERRE - garcons,11 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/SCIENCES ECONOMIQUES ET SOCIALES/SCIENCES DE LA VIE ET DE LA TERRE - filles,11 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/SCIENCES ECONOMIQUES ET SOCIALES/SCIENCES DE LA VIE ET DE LA TERRE - garcons,"12 - HUMANITES, LITTERATURE ET PHILOSOPHIE/LANGUES, LITT. ET CULTURES ETRA. ET R./SCIENCES ECONOMIQUES ET SOCIALES - filles","12 - HUMANITES, LITTERATURE ET PHILOSOPHIE/LANGUES, LITT. ET CULTURES ETRA. ET R./SCIENCES ECONOMIQUES ET SOCIALES - garcons","13 - LANGUES, LITT. ET CULTURES ETRA. ET R./MATHEMATIQUES/PHYSIQUE-CHIMIE - filles","13 - LANGUES, LITT. ET CULTURES ETRA. ET R./MATHEMATIQUES/PHYSIQUE-CHIMIE - garcons",14 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/MATHEMATIQUES/PHYSIQUE-CHIMIE - filles,14 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/MATHEMATIQUES/PHYSIQUE-CHIMIE - garcons,"15 - LANGUES, LITT. ET CULTURES ETRA. ET R./SCIENCES ECONOMIQUES ET SOCIALES/SCIENCES DE LA VIE ET DE LA TERRE - filles","15 - LANGUES, LITT. ET CULTURES ETRA. ET R./SCIENCES ECONOMIQUES ET SOCIALES/SCIENCES DE LA VIE ET DE LA TERRE - garcons","16 - LANGUES, LITT. ET CULTURES ETRA. ET R./MATHEMATIQUES/SCIENCES DE LA VIE ET DE LA TERRE - filles","16 - LANGUES, LITT. ET CULTURES ETRA. ET R./MATHEMATIQUES/SCIENCES DE LA VIE ET DE LA TERRE - garcons",17 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/MATHEMATIQUES/SCIENCES DE LA VIE ET DE LA TERRE - filles,17 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/MATHEMATIQUES/SCIENCES DE LA VIE ET DE LA TERRE - garcons,"18 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/LANGUES, LITT. ET CULTURES ETRA. ET R./MATHEMATIQUES - filles","18 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/LANGUES, LITT. ET CULTURES ETRA. ET R./MATHEMATIQUES - garcons",AUTRES COMBINAISONS - filles,AUTRES COMBINAISONS - garcons,1087 - EDUC.PHYSIQUE PRATIQUE & CULT.SPORTIVE - filles,1087 - EDUC.PHYSIQUE PRATIQUE & CULT.SPORTIVE - garcons,Rural,IPS,TauxParite
0,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,CUSSET,0030051P,LGT LYCEE DES METIERS,ALBERT LONDRES,PUBLIC,378,168.0,210.0,66,28,0,0,0,0,69,37,81,54,104,71,114.0,120.0,81.0,88.0,92,54.0,3,30,1,13,0,0,0,0,19,9,0,0,0,0,0,0,0,0,0,0,77,44,20,14,12.0,16.0,33,17,1,13,16,7,3,30,0,1,6,6,15,10,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,19,9,,,2,Moyen,Assez faible
1,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,MONTLUCON,0030025L,LYCEE GENERAL,MADAME DE STAEL,PUBLIC,350,119.0,231.0,74,25,0,0,0,0,76,33,100,51,135,73,110.0,63.0,50.0,39.0,73,27.0,0,0,9,22,0,0,9,3,24,8,0,0,16,2,0,0,17,11,0,0,35,14,17,11,26.0,14.0,21,14,1,7,9,1,0,0,2,9,7,3,10,5,3,2,5,1,3,1,3,0,4,1,1,0,3,0,0,0,81,36,,,2,Moyen,Assez faible
2,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,AURILLAC,0150646W,LYCEE GENERAL,EMILE DUCLAUX,PUBLIC,231,79.0,152.0,28,5,0,0,0,0,63,14,51,22,73,33,94.0,58.0,49.0,49.0,72,32.0,0,0,4,18,0,0,0,0,19,4,0,0,3,2,0,0,0,0,0,0,40,23,14,5,13.0,2.0,2,3,0,11,6,0,0,0,2,8,7,1,12,2,4,4,7,0,4,3,0,1,4,0,1,0,1,0,4,1,31,15,,,2,126.8,Moyen
3,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,MAURIAC,0150747F,LPO LYCEE DES METIERS,,PUBLIC,50,20.0,30.0,14,2,0,0,0,0,9,1,7,5,13,3,19.0,17.0,12.0,18.0,13,8.0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,0,0.0,0.0,3,2,1,6,1,0,0,0,0,0,1,0,0,0,0,0,3,0,3,1,0,2,0,0,0,0,0,0,0,0,9,1,,,3,Moyen,Assez elevé
4,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,SAINT-FLOUR,0150030B,LYCEE POLYVALENT,DE HAUTE AUVERGNE,PUBLIC,127,56.0,71.0,22,6,0,0,0,0,26,10,25,24,37,23,38.0,46.0,25.0,25.0,40,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,4,2,4.0,8.0,6,3,0,0,3,2,0,0,1,1,3,1,5,5,1,3,1,0,4,1,0,2,4,0,1,3,1,3,0,1,19,1,,,3,Moyen,Assez faible
5,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,LE PUY-EN-VELAY,0430020N,LPO LYCEE DES METIERS,CHARLES ET ADRIEN DUPUY,PUBLIC,141,69.0,72.0,31,8,0,0,0,0,15,18,33,30,32,33,37.0,40.0,24.0,29.0,29,23.0,3,12,1,6,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,15,10,3,9,4.0,3.0,7,1,1,3,4,1,3,9,3,1,0,3,0,3,5,6,1,0,0,0,0,4,0,2,0,0,1,0,0,0,25,14,,,2,Moyen,Moyen
6,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,LE PUY-EN-VELAY,0430968U,LYCEE GENERAL PRIVE,ST-JACQUES DE COMPOSTELLE,PRIVE SOUS CONTRAT,78,33.0,45.0,18,8,0,0,0,0,9,2,20,7,22,10,23.0,27.0,19.0,21.0,20,12.0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,1,0,2.0,1.0,14,3,2,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1,2,0,0,6,9,,,2,Moyen,Moyen
7,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,YSSINGEAUX,0430065M,LYCEE GEN.ET TECHNOL.PRIVE,SAINT-GABRIEL,PRIVE SOUS CONTRAT,68,29.0,39.0,0,0,0,0,0,0,12,5,16,14,21,14,27.0,20.0,16.0,14.0,19,15.0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,10,10,5,1,5.0,4.0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,1,3,0,0,0,0,0,2,0,1,3,0,0,0,1,0,10,5,,,3,Assez faible,Eleve
8,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT-FERRAND,0630018C,LYCEE GENERAL,BLAISE PASCAL,PUBLIC,309,145.0,164.0,56,9,7,2,0,0,42,18,62,35,55,48,101.0,117.0,69.0,76.0,78,55.0,8,39,7,29,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,52,30,6,3,9.0,11.0,17,1,1,6,8,2,5,27,3,4,3,2,5,8,3,3,3,0,2,2,0,2,1,0,1,0,0,2,2,1,43,41,,,1,Assez elevé,Assez elevé
9,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT-FERRAND,0630019D,LYCEE INTERNATIONAL,JEANNE D'ARC,PUBLIC,451,158.0,293.0,69,14,0,0,0,0,91,25,179,60,120,49,202.0,133.0,99.0,92.0,99,56.0,0,0,10,42,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,94,53,52,15,67.0,34.0,0,0,5,39,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,10,,,1,Eleve,Eleve
10,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,ISSOIRE,0630034V,LYCEE GENERAL ET TECHNOLOGIQUE,MURAT,PUBLIC,271,115.0,156.0,48,18,0,0,0,0,59,22,80,52,69,49,84.0,71.0,56.0,52.0,68,53.0,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,32,12,8,12.0,8.0,13,10,2,9,16,1,0,0,3,1,0,0,7,2,8,8,8,2,6,1,2,4,2,0,2,1,3,3,5,0,18,25,,,2,Assez elevé,Moyen
11,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,RIOM,0630052P,LYCEE GENERAL ET TECHNOLOGIQUE,C. ET P. VIRLOGEUX,PUBLIC,342,143.0,199.0,74,21,0,0,0,0,64,39,93,67,75,52,103.0,99.0,71.0,75.0,91,70.0,0,0,0,0,15,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,47,45,12,9,15.0,14.0,15,6,0,0,18,7,0,0,3,7,2,3,6,4,4,2,7,2,3,7,5,8,3,0,4,2,3,8,0,0,52,19,,,2,Assez elevé,Assez faible
12,2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,RIOM,0631034G,LYCEE GENERAL PRIVE,SAINTE MARIE,PRIVE SOUS CONTRAT,82,35.0,47.0,17,6,0,0,0,0,14,6,26,17,22,16,26.0,26.0,14.0,18.0,14,13.0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,8,9,0,1,2.0,1.0,7,4,0,0,3,0,0,0,1,1,5,3,0,1,2,1,1,0,0,0,4,6,0,0,3,1,0,0,2,1,9,6,,,2,Eleve,Moyen
